Date,Close,signal
2023-02-12,1862.800048828125,1
2023-02-19,1840.4000244140625,1
2023-02-26,1808.800048828125,1
2023-03-05,1847.699951171875,1
2023-03-12,1862.0,1
2023-03-19,1969.800048828125,1
2023-03-26,1982.0999755859373,1
2023-04-02,1969.0,1
2023-04-09,2011.9000244140625,1
2023-04-16,2002.199951171875,1
2023-04-23,1979.5,1
2023-04-30,1990.0999755859373,1
2023-05-07,2017.4000244140625,1
2023-05-14,2014.5,1
2023-05-21,1978.699951171875,1
2023-05-28,1944.0999755859373,1
2023-06-04,1952.4000244140625,1
2023-06-11,1962.199951171875,1
2023-06-18,1958.4000244140625,1
2023-06-25,1919.0999755859373,1
2023-07-02,1921.0999755859373,1
2023-07-09,1926.199951171875,1
2023-07-16,1960.0999755859373,1
2023-07-23,1964.300048828125,1
2023-07-30,1960.4000244140625,1
2023-08-06,1939.5999755859373,1
2023-08-13,1912.9000244140625,1
2023-08-20,1886.0999755859373,0
2023-08-27,1911.0999755859373,0
2023-09-03,1939.800048828125,0
2023-09-10,1918.4000244140625,0
2023-09-17,1923.699951171875,0
2023-09-24,1925.4000244140625,0
2023-10-01,1848.0999755859373,0
2023-10-08,1830.199951171875,0
2023-10-15,1927.4000244140625,0
2023-10-22,1982.5,0
2023-10-29,1988.5999755859373,1
2023-11-05,1991.5,1
2023-11-12,1932.5999755859373,1
2023-11-19,1981.5999755859373,1
2023-11-26,2002.199951171875,1
2023-12-03,2071.0,1
2023-12-10,1998.300048828125,1
2023-12-17,2021.0999755859373,1
2023-12-24,2057.10009765625,1
2023-12-31,2062.39990234375,1
2024-01-07,2042.4000244140625,1
2024-01-14,2046.699951171875,1
2024-01-21,2026.5,1
2024-01-28,2016.800048828125,1
2024-02-04,2036.0999755859373,1
2024-02-11,2023.300048828125,1
2024-02-18,2011.5,1
2024-02-25,2038.5999755859373,1
2024-03-03,2086.89990234375,1
2024-03-10,2178.60009765625,1
2024-03-17,2157.300048828125,1
2024-03-24,2158.10009765625,1
2024-03-31,2217.39990234375,1
2024-04-07,2325.699951171875,1
2024-04-14,2356.199951171875,1
2024-04-21,2398.39990234375,1
2024-04-28,2334.800048828125,1
2024-05-05,2299.0,1
2024-05-12,2367.300048828125,1
2024-05-19,2412.199951171875,1
2024-05-26,2332.5,1
2024-06-02,2322.89990234375,1
2024-06-09,2305.199951171875,1
2024-06-16,2331.39990234375,1
2024-06-23,2316.39990234375,1
2024-06-30,2327.699951171875,1
2024-07-07,2388.5,1
2024-07-14,2414.0,1
2024-07-21,2395.5,1
2024-07-28,2380.0,1
2024-08-04,2425.699951171875,1
2024-08-11,2432.10009765625,1
2024-08-18,2498.60009765625,1
2024-08-25,2508.39990234375,1
2024-09-01,2493.800048828125,1
2024-09-08,2493.5,1
2024-09-15,2581.300048828125,1
2024-09-22,2619.89990234375,1
2024-09-29,2644.300048828125,1
2024-10-06,2645.800048828125,1
2024-10-13,2657.60009765625,1
2024-10-20,2713.699951171875,1
2024-10-27,2740.89990234375,1
2024-11-03,2738.60009765625,1
2024-11-10,2687.5,1
2024-11-17,2565.699951171875,1
2024-11-24,2709.89990234375,1
2024-12-01,2657.0,1
2024-12-08,2638.60009765625,1
2024-12-15,2656.0,1
2024-12-22,2628.699951171875,1
2024-12-29,2617.199951171875,1
2025-01-05,2645.0,1
2025-01-12,2708.5,1
2025-01-19,2744.300048828125,1
2025-01-26,2777.300048828125,1
2025-02-02,2812.5,1
2025-02-09,2867.300048828125,1
2025-02-16,2883.60009765625,1
2025-02-23,2937.60009765625,1
2025-03-02,2836.800048828125,1
2025-03-09,2904.699951171875,1
2025-03-16,2994.5,1
2025-03-23,3018.199951171875,1
2025-03-30,3086.5,1
2025-04-06,3012.0,1
2025-04-13,3222.199951171875,1
2025-04-20,3308.699951171875,1
2025-04-27,3282.39990234375,1
2025-05-04,3231.89990234375,1
2025-05-11,3335.39990234375,1
2025-05-18,3182.0,1
2025-05-25,3363.60009765625,1
2025-06-01,3288.89990234375,1
2025-06-08,3322.699951171875,1
2025-06-15,3431.199951171875,1
2025-06-22,3368.10009765625,1
2025-06-29,3273.699951171875,1
2025-07-06,3332.5,1
2025-07-13,3356.0,1
2025-07-20,3353.0,1
2025-07-27,3334.0,1
2025-08-03,3347.699951171875,1
2025-08-10,3439.10009765625,1
2025-08-17,3336.0,1
2025-08-24,3374.39990234375,1
2025-08-31,3473.699951171875,1
2025-09-07,3653.300048828125,1
