Date,signal,position,Close,strategy
2020-04-12,0,1,7.042200088500977,S3_breakout
2020-04-19,0,1,7.078800201416016,S3_breakout
2020-04-26,0,1,7.065199851989746,S3_breakout
2020-05-03,0,1,7.061299800872803,S3_breakout
2020-05-10,0,1,7.083799839019775,S3_breakout
2020-05-17,0,1,7.094699859619141,S3_breakout
2020-05-24,0,1,7.114299774169922,S3_breakout
2020-05-31,0,1,7.145199775695801,S3_breakout
2020-06-07,0,1,7.10920000076294,S3_breakout
2020-06-14,0,1,7.064099788665772,S3_breakout
2020-06-21,0,1,7.088399887084961,S3_breakout
2020-06-28,0,1,7.077199935913086,S3_breakout
2020-07-05,0,1,7.065499782562256,S3_breakout
2020-07-12,0,0,6.993100166320801,S3_breakout
2020-07-19,0,0,6.9882001876831055,S3_breakout
2020-07-26,0,0,7.003099918365479,S3_breakout
2020-08-02,0,0,7.007299900054932,S3_breakout
2020-08-09,0,0,6.952400207519531,S3_breakout
2020-08-16,0,0,6.943600177764893,S3_breakout
2020-08-23,0,0,6.91480016708374,S3_breakout
2020-08-30,0,0,6.889200210571289,S3_breakout
2020-09-06,0,0,6.845799922943115,S3_breakout
2020-09-13,0,0,6.8333001136779785,S3_breakout
2020-09-20,0,0,6.764100074768066,S3_breakout
2020-09-27,0,0,6.827700138092041,S3_breakout
2020-10-04,0,0,6.789400100708008,S3_breakout
2020-10-11,0,0,6.7891998291015625,S3_breakout
2020-10-18,0,0,6.723899841308594,S3_breakout
2020-10-25,0,0,6.683499813079834,S3_breakout
2020-11-01,0,0,6.714000225067139,S3_breakout
2020-11-08,0,0,6.605199813842773,S3_breakout
2020-11-15,0,0,6.610599994659424,S3_breakout
2020-11-22,0,0,6.582399845123291,S3_breakout
2020-11-29,0,0,6.57450008392334,S3_breakout
2020-12-06,0,0,6.541399955749512,S3_breakout
2020-12-13,0,0,6.544400215148926,S3_breakout
2020-12-20,0,0,6.532100200653076,S3_breakout
2020-12-27,0,0,6.52899980545044,S3_breakout
2021-01-03,0,0,6.531700134277344,S3_breakout
2021-01-10,0,0,6.477200031280518,S3_breakout
2021-01-17,0,0,6.473100185394287,S3_breakout
2021-01-24,0,0,6.461400032043457,S3_breakout
2021-01-31,0,0,6.448400020599365,S3_breakout
2021-02-07,0,0,6.470699787139893,S3_breakout
2021-02-14,0,0,6.456900119781494,S3_breakout
2021-02-21,0,0,6.487199783325195,S3_breakout
2021-02-28,0,0,6.453800201416016,S3_breakout
2021-03-07,0,0,6.468999862670898,S3_breakout
2021-03-14,0,0,6.493000030517578,S3_breakout
2021-03-21,0,0,6.504799842834473,S3_breakout
2021-03-28,0,0,6.5447998046875,S3_breakout
2021-04-04,0,0,6.56440019607544,S3_breakout
2021-04-11,0,0,6.550000190734863,S3_breakout
2021-04-18,0,0,6.521299839019775,S3_breakout
2021-04-25,0,0,6.490300178527832,S3_breakout
2021-05-02,0,0,6.471199989318848,S3_breakout
2021-05-09,0,0,6.463200092315674,S3_breakout
2021-05-16,0,0,6.450900077819824,S3_breakout
2021-05-23,0,0,6.433899879455566,S3_breakout
2021-05-30,0,0,6.381999969482422,S3_breakout
2021-06-06,0,0,6.402699947357178,S3_breakout
2021-06-13,0,0,6.392300128936768,S3_breakout
2021-06-20,0,0,6.447400093078613,S3_breakout
